acc,tax_id,name,total_count,self_count
DRR001793,2501931,Orthocoronavirinae,18,0
DRR001793,694002,Betacoronavirus,16,1
DRR001793,2509502,Nobecovirus,15,0
DRR001793,694006,Rousettus bat coronavirus HKU9,15,14
DRR001793,693996,Alphacoronavirus,2,0
DRR001793,366617,unclassified Alphacoronavirus,2,0
DRR001793,389256,Bat coronavirus A701/2005,1,1
DRR001793,875613,Bat coronavirus HKU9-10-2,1,1
DRR001793,1508226,Neixiang Md bat coronavirus,1,1
DRR009863,694002,Betacoronavirus,307,0
DRR009863,2509481,Embecovirus,307,0
DRR009863,2501931,Orthocoronavirinae,307,0
DRR009863,694005,Murine coronavirus,307,7
DRR009863,11138,Murine hepatitis virus,300,300
DRR030370,2509505,Pedacovirus,1,0
DRR030370,693996,Alphacoronavirus,1,0
DRR030370,2501931,Orthocoronavirinae,1,0
DRR030370,28295,Porcine epidemic diarrhea virus,1,1
DRR031848,2509487,Igacovirus,1,0
DRR031848,2501931,Orthocoronavirinae,1,0
DRR031848,694013,Gammacoronavirus,1,0
DRR031848,694014,Avian coronavirus,1,0
DRR031848,11120,Infectious bronchitis virus,1,1
DRR037089,2501931,Orthocoronavirinae,283,0
DRR037089,2509487,Igacovirus,283,0
DRR037089,694013,Gammacoronavirus,283,0
DRR037089,694014,Avian coronavirus,283,86
DRR037089,11120,Infectious bronchitis virus,191,191
DRR037089,11152,Turkey coronavirus,6,6
DRR060780,2509511,Sarbecovirus,1,0
DRR060780,694002,Betacoronavirus,1,0
DRR060780,2501931,Orthocoronavirinae,1,0
DRR060780,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR060811,694002,Betacoronavirus,1,0
DRR060811,2501931,Orthocoronavirinae,1,0
DRR060811,2509511,Sarbecovirus,1,0
DRR060811,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR060815,2501931,Orthocoronavirinae,1,0
DRR060815,2509511,Sarbecovirus,1,0
DRR060815,694002,Betacoronavirus,1,0
DRR060815,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR060841,2509511,Sarbecovirus,1,0
DRR060841,694002,Betacoronavirus,1,0
DRR060841,2501931,Orthocoronavirinae,1,0
DRR060841,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR060852,2501931,Orthocoronavirinae,1,0
DRR060852,2509511,Sarbecovirus,1,0
DRR060852,694002,Betacoronavirus,1,0
DRR060852,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR067829,2501931,Orthocoronavirinae,26,0
DRR067829,2509487,Igacovirus,26,0
DRR067829,694013,Gammacoronavirus,26,0
DRR067829,694014,Avian coronavirus,26,13
DRR067829,11120,Infectious bronchitis virus,13,13
DRR067830,2509487,Igacovirus,36,0
DRR067830,694013,Gammacoronavirus,36,0
DRR067830,2501931,Orthocoronavirinae,36,0
DRR067830,694014,Avian coronavirus,36,11
DRR067830,11120,Infectious bronchitis virus,25,21
DRR067830,658929,Infectious bronchitis virus ITA/90254/2005,4,4
DRR067832,2501931,Orthocoronavirinae,31,0
DRR067832,694013,Gammacoronavirus,31,0
DRR067832,2509487,Igacovirus,31,0
DRR067832,694014,Avian coronavirus,31,10
DRR067832,11120,Infectious bronchitis virus,20,20
DRR067832,11152,Turkey coronavirus,1,1
DRR075575,2501931,Orthocoronavirinae,3,0
DRR075575,694002,Betacoronavirus,2,0
DRR075575,2509511,Sarbecovirus,2,0
DRR075575,694009,Severe acute respiratory syndrome-related coronavirus,2,2
DRR075575,2509487,Igacovirus,1,0
DRR075575,694013,Gammacoronavirus,1,0
DRR075575,694014,Avian coronavirus,1,0
DRR075575,11120,Infectious bronchitis virus,1,1
DRR090428,694013,Gammacoronavirus,1,0
DRR090428,2509487,Igacovirus,1,0
DRR090428,694014,Avian coronavirus,1,0
DRR090428,2501931,Orthocoronavirinae,1,0
DRR090428,11120,Infectious bronchitis virus,1,1
DRR093668,2509505,Pedacovirus,1,0
DRR093668,693996,Alphacoronavirus,1,0
DRR093668,2501931,Orthocoronavirinae,1,0
DRR093668,28295,Porcine epidemic diarrhea virus,1,1
DRR098260,2509505,Pedacovirus,1,0
DRR098260,693996,Alphacoronavirus,1,0
DRR098260,2501931,Orthocoronavirinae,1,0
DRR098260,28295,Porcine epidemic diarrhea virus,1,1
DRR100712,2501931,Orthocoronavirinae,3,0
DRR100712,2509487,Igacovirus,3,0
DRR100712,694014,Avian coronavirus,3,0
DRR100712,694013,Gammacoronavirus,3,0
DRR100712,11120,Infectious bronchitis virus,3,3
DRR100713,694013,Gammacoronavirus,2,0
DRR100713,694014,Avian coronavirus,2,0
DRR100713,2501931,Orthocoronavirinae,2,0
DRR100713,2509487,Igacovirus,2,0
DRR100713,11120,Infectious bronchitis virus,2,2
DRR100716,2509487,Igacovirus,1,0
DRR100716,694013,Gammacoronavirus,1,0
DRR100716,694014,Avian coronavirus,1,0
DRR100716,2501931,Orthocoronavirinae,1,0
DRR100716,11120,Infectious bronchitis virus,1,1
DRR100722,2509487,Igacovirus,3,0
DRR100722,2501931,Orthocoronavirinae,3,0
DRR100722,694014,Avian coronavirus,3,0
DRR100722,694013,Gammacoronavirus,3,0
DRR100722,11120,Infectious bronchitis virus,3,3
DRR100728,694013,Gammacoronavirus,1,0
DRR100728,2501931,Orthocoronavirinae,1,0
DRR100728,2509487,Igacovirus,1,0
DRR100728,694014,Avian coronavirus,1,0
DRR100728,11120,Infectious bronchitis virus,1,1
DRR100730,694013,Gammacoronavirus,1,0
DRR100730,694014,Avian coronavirus,1,0
DRR100730,2509487,Igacovirus,1,0
DRR100730,2501931,Orthocoronavirinae,1,0
DRR100730,11120,Infectious bronchitis virus,1,1
DRR100733,2501931,Orthocoronavirinae,1,0
DRR100733,694013,Gammacoronavirus,1,0
DRR100733,694014,Avian coronavirus,1,0
DRR100733,2509487,Igacovirus,1,0
DRR100733,11120,Infectious bronchitis virus,1,1
DRR100735,694014,Avian coronavirus,4,0
DRR100735,694013,Gammacoronavirus,4,0
DRR100735,2501931,Orthocoronavirinae,4,0
DRR100735,2509487,Igacovirus,4,0
DRR100735,11120,Infectious bronchitis virus,4,4
DRR100737,694013,Gammacoronavirus,3,0
DRR100737,694014,Avian coronavirus,3,0
DRR100737,2501931,Orthocoronavirinae,3,0
DRR100737,2509487,Igacovirus,3,0
DRR100737,11120,Infectious bronchitis virus,3,3
DRR100742,694013,Gammacoronavirus,2,0
DRR100742,2501931,Orthocoronavirinae,2,0
DRR100742,2509487,Igacovirus,2,0
DRR100742,694014,Avian coronavirus,2,0
DRR100742,11120,Infectious bronchitis virus,2,2
DRR100744,694014,Avian coronavirus,1,0
DRR100744,2509487,Igacovirus,1,0
DRR100744,2501931,Orthocoronavirinae,1,0
DRR100744,694013,Gammacoronavirus,1,0
DRR100744,11120,Infectious bronchitis virus,1,1
DRR100745,2501931,Orthocoronavirinae,1,0
DRR100745,694014,Avian coronavirus,1,0
DRR100745,694013,Gammacoronavirus,1,0
DRR100745,2509487,Igacovirus,1,0
DRR100745,11120,Infectious bronchitis virus,1,1
DRR100746,2509487,Igacovirus,1,0
DRR100746,694013,Gammacoronavirus,1,0
DRR100746,2501931,Orthocoronavirinae,1,0
DRR100746,694014,Avian coronavirus,1,0
DRR100746,11120,Infectious bronchitis virus,1,1
DRR100749,694014,Avian coronavirus,1,0
DRR100749,2501931,Orthocoronavirinae,1,0
DRR100749,694013,Gammacoronavirus,1,0
DRR100749,2509487,Igacovirus,1,0
DRR100749,11120,Infectious bronchitis virus,1,1
DRR100750,2501931,Orthocoronavirinae,1,0
DRR100750,2509487,Igacovirus,1,0
DRR100750,694014,Avian coronavirus,1,0
DRR100750,694013,Gammacoronavirus,1,0
DRR100750,11120,Infectious bronchitis virus,1,1
DRR100751,694013,Gammacoronavirus,1,0
DRR100751,694014,Avian coronavirus,1,0
DRR100751,2501931,Orthocoronavirinae,1,0
DRR100751,2509487,Igacovirus,1,0
DRR100751,11120,Infectious bronchitis virus,1,1
DRR100752,2501931,Orthocoronavirinae,1,0
DRR100752,2509487,Igacovirus,1,0
DRR100752,694013,Gammacoronavirus,1,0
DRR100752,694014,Avian coronavirus,1,0
DRR100752,11120,Infectious bronchitis virus,1,1
DRR100753,694014,Avian coronavirus,1,0
DRR100753,694013,Gammacoronavirus,1,0
DRR100753,2501931,Orthocoronavirinae,1,0
DRR100753,2509487,Igacovirus,1,0
DRR100753,11120,Infectious bronchitis virus,1,1
DRR106495,694002,Betacoronavirus,1,0
DRR106495,2501931,Orthocoronavirinae,1,0
DRR106495,2509511,Sarbecovirus,1,0
DRR106495,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR128389,694002,Betacoronavirus,1,0
DRR128389,2509481,Embecovirus,1,0
DRR128389,2501931,Orthocoronavirinae,1,0
DRR128389,694003,Betacoronavirus 1,1,1
DRR147589,2509511,Sarbecovirus,1,0
DRR147589,694002,Betacoronavirus,1,0
DRR147589,2501931,Orthocoronavirinae,1,0
DRR147589,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR152048,694013,Gammacoronavirus,1,0
DRR152048,2509487,Igacovirus,1,0
DRR152048,2501931,Orthocoronavirinae,1,0
DRR152048,694014,Avian coronavirus,1,0
DRR152048,11120,Infectious bronchitis virus,1,1
DRR152049,2509487,Igacovirus,1,0
